id,FirstName,LastName,DateOfBirth,Country,CoachStatus,TeamId,Specialty
bb2cd36c-5190-44c2-834f-aadb82e39457,Bibbye,Rivlin,12.02.1991,Bosnia and Herzegovina,1,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,2
1ba1ab8b-9530-4421-a57e-c3fa409fb8c1,Gussie,Molineaux,20.07.2004,Philippines,2,6240b294-5b27-4d32-b593-d0d73d57bce7,2
94911db9-ece6-4c8f-a744-2eaf826e5600,Marie-jeanne,Moth,10.01.1975,China,2,3748229b-f545-4303-a4f0-bf39565f86f2,0
2f3829c1-2ed3-40ee-a43d-54766dc0acb3,Bennett,Keppel,07.09.1976,Egypt,2,710fbb15-7b65-40f3-99f6-a7e990cb4b53,0
43dc7eb0-2a10-44bd-88aa-1c1a15de2b26,Josie,Laurentino,22.01.1976,China,1,5cf08038-6c03-4d00-99ce-15c927bb71c0,1
376aaec5-0795-4a97-8366-3b872f1fff50,Dorrie,Daubney,20.12.1947,Portugal,1,c8b20b59-51b1-4f8b-a3eb-26e207287184,2
a2ca5777-2dcd-4135-892a-9eb1df4f7557,Prudi,Kingzeth,21.05.2001,Fiji,2,05d02e85-9789-441d-b28f-689c6511cf7e,2
1f7999cb-3320-4613-b76a-3f5bab5b7d96,Albertine,Prattin,07.10.1997,Croatia,2,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,1
a5446d65-1073-43ac-8ed3-5c7b574ef8db,Mufinella,Alvin,21.01.1982,Indonesia,2,a621843d-fee4-4f59-82b2-62a0cf74549f,2
31897157-2741-4bc2-af4d-e5cfc029433d,Pate,Pech,04.04.1995,Turkmenistan,2,26cc1c37-325f-473c-84cb-f3db7140369c,2
f6b83d7a-d00b-4c31-8766-8881cf6b8a8b,Iggie,Jeness,04.01.2005,Sweden,1,52d36a44-a02a-4729-9ffc-9a1241623042,1
e95426e0-2a19-4c94-a689-3bd728ec2243,Chan,O'Hear,19.05.1947,Argentina,1,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,1
4a3335a3-8f09-46b0-aeab-673d1fb48c47,Helga,Carlill,24.07.1960,Colombia,1,f74c7855-407a-4989-9079-1e0e98ed1232,1
aabba65e-bc36-4425-a11a-87c6364cf180,Gale,Hanwell,23.07.1956,Indonesia,2,815baa9d-02cc-49ae-bf3e-0e8958712efb,0
15ff60a8-91dd-4577-aff9-53a9b3d4e701,Friedrick,Arman,26.10.1947,Colombia,2,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,2
9a11e4fa-bcb7-4a3b-af1b-955d3d3179e4,Mareah,Weir,17.11.1955,Indonesia,2,e089d826-6001-45ae-9c5f-0109c044c30b,1
aadcfb6c-0af1-4048-b552-a07df5fc9131,Valle,Thynne,30.07.1957,Russia,2,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,2
12de8c87-9069-4f6a-b1fd-95e2aec71693,Ciel,Hofler,28.12.1996,China,1,aa76d8d2-d1d5-4b26-ae7e-95b0f484a7f3,1
0ae41e2c-f514-4f15-865f-ffab56b0fc24,Nickey,Tather,09.12.1975,Guatemala,2,8d2d1561-0557-41e9-9e0e-acf9eabb5fbf,2
1c9819a0-c2ca-4d72-9b3f-a77096c66967,Jerald,Abbitt,08.01.1960,China,1,b824de3c-cacf-4489-84ca-b7801cba3db7,2
0b7b11be-ce70-44bc-bfd6-a933a4688efe,Wadsworth,Dunaway,31.03.2000,Armenia,2,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,1
c3c49f16-f84b-498d-a3ee-fb03e56b3378,Ivar,Skeates,11.12.1973,Vietnam,1,6240b294-5b27-4d32-b593-d0d73d57bce7,0
ccb56f42-bec5-4c7e-9534-8204ca5b6241,Latia,Muneely,03.03.2001,Sweden,2,3748229b-f545-4303-a4f0-bf39565f86f2,2
712befd0-0797-4802-8510-0364fd030bb0,Anthia,Sarten,25.08.1977,Indonesia,1,710fbb15-7b65-40f3-99f6-a7e990cb4b53,2
09aec4cc-e71c-4771-9dde-0572982d7614,Gunilla,Hanscomb,15.08.1988,Luxembourg,2,5cf08038-6c03-4d00-99ce-15c927bb71c0,1
0d92d246-4b61-445d-9202-8d78dc4e8a0c,Meggy,Loveguard,12.06.1961,Peru,1,c8b20b59-51b1-4f8b-a3eb-26e207287184,2
f0c18e8e-6a03-4059-b0c5-248e19a7c538,Wolf,Clousley,16.06.1947,Indonesia,2,05d02e85-9789-441d-b28f-689c6511cf7e,1
b85772f2-289c-4339-b123-27827b3b0cd6,Carter,Vasiltsov,02.06.1995,Russia,1,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,0
7ef7f708-361f-459e-a607-a909ad69d5c6,Colette,Ojeda,27.06.1964,Indonesia,1,a621843d-fee4-4f59-82b2-62a0cf74549f,1
e5f1f6fa-1625-41ce-a1be-19b3f9448bc5,Betsy,Gelderd,30.06.1962,Indonesia,1,26cc1c37-325f-473c-84cb-f3db7140369c,1
45ba0bef-7204-4f7d-8fb9-22fb66dfce49,Conway,Ilewicz,08.05.1970,Kenya,2,52d36a44-a02a-4729-9ffc-9a1241623042,0
74721b3c-4a6c-4f0a-92e3-3d45f02b0ca9,Elise,Demoge,30.03.1954,United States,1,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,2
e780d05e-f727-487e-9e35-73bc4e059d46,Erminia,Philip,28.01.1999,Indonesia,1,f74c7855-407a-4989-9079-1e0e98ed1232,1
034cc2c0-a48b-4c16-a266-f110e0a52450,Kelly,Palek,18.08.2005,Indonesia,2,815baa9d-02cc-49ae-bf3e-0e8958712efb,1
271f62fc-a038-426b-9449-1c4ec02ca9e1,Phedra,Yesichev,17.04.1946,Argentina,1,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,1
c25f6f11-cbc1-42b8-964b-88981ae6fc92,Cully,Isgate,24.04.1995,Russia,2,e089d826-6001-45ae-9c5f-0109c044c30b,2
294eb4d6-e6c0-488f-bd01-b0b8a61af95a,Anselm,Corbet,02.10.1973,Indonesia,2,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,1
7e60e6d5-527e-4c18-8c56-7460de56e1f5,Myrtie,Scorey,29.11.1955,Kazakhstan,1,aa76d8d2-d1d5-4b26-ae7e-95b0f484a7f3,0
deecb3bf-b002-44ce-8e59-0ba6f9884b40,Philip,Treppas,12.09.1946,China,1,8d2d1561-0557-41e9-9e0e-acf9eabb5fbf,2
63d59d53-fefe-4730-9f59-8926df08533b,Fairlie,Guiness,02.02.1981,Indonesia,2,b824de3c-cacf-4489-84ca-b7801cba3db7,1
872718de-69ff-454d-8b00-79b5775a402a,Binni,Cornillot,19.07.1981,Poland,1,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,0
5322548e-be01-4701-82a4-8e8d8346c811,Heddi,Hamnet,30.04.2000,Greece,1,6240b294-5b27-4d32-b593-d0d73d57bce7,0
c16ca270-bda8-4dbc-ba0e-4ca37623de60,Garrott,Fulford,02.04.1962,Mexico,2,3748229b-f545-4303-a4f0-bf39565f86f2,1
95a177cb-e2bf-4470-af7d-38ab40af206e,Mari,Rash,29.06.1982,China,1,710fbb15-7b65-40f3-99f6-a7e990cb4b53,2
d472e608-d935-48c5-88c7-0d6970b4ffea,Graeme,Pursehouse,12.01.1961,Philippines,1,5cf08038-6c03-4d00-99ce-15c927bb71c0,2
b8f88d83-3d1d-48fc-b364-73e6ea69f257,Shirl,Salomon,10.03.1980,Indonesia,1,c8b20b59-51b1-4f8b-a3eb-26e207287184,1
c758b6e5-14f8-4988-8b8e-069b60b75733,Nappie,Worts,12.08.1957,Russia,2,05d02e85-9789-441d-b28f-689c6511cf7e,1
99a2b928-4299-412c-9097-a925871be39e,Roma,Vern,12.07.1999,Indonesia,1,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,2
6626e9eb-b3cc-4628-a9b0-f4f698335d84,Auria,MacMeanma,04.10.2001,China,2,a621843d-fee4-4f59-82b2-62a0cf74549f,0
849f869c-8a0a-475c-8d53-d2ee03531073,Ophelie,Willarton,07.03.1968,Poland,2,26cc1c37-325f-473c-84cb-f3db7140369c,1
89c65200-1c2d-456f-bb22-a86ceb5e8955,Molly,Dronsfield,20.04.1983,Russia,1,52d36a44-a02a-4729-9ffc-9a1241623042,1
b9b382a9-2cc3-4e96-a039-1f0db0b17b2a,Dorie,Boltwood,11.03.1977,China,2,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,0
83afbcd2-cafd-49d8-a0d5-059e47fc5d2a,Rozalin,Malitrott,04.12.1985,United States,2,f74c7855-407a-4989-9079-1e0e98ed1232,0
b7856fa6-ea20-47cd-bcb3-53b542e70f7d,Hilarius,Schanke,28.10.1987,Yemen,1,815baa9d-02cc-49ae-bf3e-0e8958712efb,1
8c505c29-db68-456a-ac53-c7e478eb3ed9,Renaud,Chasteney,20.03.1992,Greece,1,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,1
9bf48d39-f863-4121-b168-8e1c7f6c895c,Cordula,MacKain,22.01.1949,Ireland,2,e089d826-6001-45ae-9c5f-0109c044c30b,0
f892ec3c-d635-4f62-b591-f84776dd5f93,Crysta,Hillhouse,18.04.1993,Malaysia,2,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,1
6309d9ab-59ae-4dd7-bb35-dcf8a9fb2d97,Jemie,Duggon,24.01.1946,Japan,2,aa76d8d2-d1d5-4b26-ae7e-95b0f484a7f3,1
0d604da8-2c77-453e-9f2a-6396f1a8adc5,Kip,Ryrie,29.08.1960,China,2,8d2d1561-0557-41e9-9e0e-acf9eabb5fbf,1
